"x","y","color","pen down?","x","y","color","pen down?"
"176","28","105","true","176","138","15","true"
"177","30","105","true","177","136","15","true"
"178","30","105","true","178","140","15","true"
"179","32","105","true","179","146","15","true"
"180","32","105","true","180","138","15","true"
"181","31","105","true","181","141","15","true"
"182","29","105","true","182","145","15","true"
"183","30","105","true","183","144","15","true"
"184","29","105","true","184","143","15","true"
"185","30","105","true","185","144","15","true"
"186","29","105","true","186","144","15","true"
"187","28","105","true","187","145","15","true"
"188","29","105","true","188","141","15","true"
"189","29","105","true","189","140","15","true"
"190","31","105","true","190","138","15","true"
"191","29","105","true","191","142","15","true"
"192","30","105","true","192","139","15","true"
"193","30","105","true","193","139","15","true"
"194","28","105","true","194","141","15","true"
"195","23","105","true","195","140","15","true"
"196","22","105","true","196","142","15","true"
"197","20","105","true","197","140","15","true"
"198","21","105","true","198","142","15","true"
"199","20","105","true","199","141","15","true"
"200","18","105","true","200","149","15","true"
"201","20","105","true","201","144","15","true"
"202","20","105","true","202","143","15","true"
"203","13","105","true","203","139","15","true"
"204","14","105","true","204","140","15","true"
"205","15","105","true","205","141","15","true"
"206","15","105","true","206","142","15","true"
"207","15","105","true","207","136","15","true"
"208","14","105","true","208","135","15","true"
"209","13","105","true","209","132","15","true"
"210","13","105","true","210","131","15","true"
"211","12","105","true","211","130","15","true"
"212","14","105","true","212","126","15","true"
"213","14","105","true","213","123","15","true"
"214","14","105","true","214","121","15","true"
"215","13","105","true","215","122","15","true"
"216","13","105","true","216","117","15","true"
"217","12","105","true","217","118","15","true"
"218","13","105","true","218","120","15","true"
"219","15","105","true","219","124","15","true"
"220","16","105","true","220","126","15","true"
"221","15","105","true","221","128","15","true"
"222","14","105","true","222","132","15","true"
"223","13","105","true","223","137","15","true"
"224","13","105","true","224","134","15","true"
"225","13","105","true","225","132","15","true"
"226","13","105","true","226","143","15","true"
"227","13","105","true","227","148","15","true"
"228","14","105","true","228","149","15","true"
"229","13","105","true","229","153","15","true"
"230","13","105","true","230","157","15","true"
"231","14","105","true","231","165","15","true"
"232","14","105","true","232","165","15","true"
"233","13","105","true","233","168","15","true"
"234","13","105","true","234","169","15","true"
"235","14","105","true","235","175","15","true"
"236","13","105","true","236","169","15","true"
"237","14","105","true","237","177","15","true"
"238","13","105","true","238","171","15","true"
