"x","y","color","pen down?","x","y","color","pen down?"
"176","19","105","true","176","159","15","true"
"177","19","105","true","177","162","15","true"
"178","18","105","true","178","165","15","true"
"179","19","105","true","179","166","15","true"
"180","18","105","true","180","168","15","true"
"181","19","105","true","181","165","15","true"
"182","22","105","true","182","161","15","true"
"183","22","105","true","183","170","15","true"
"184","19","105","true","184","167","15","true"
"185","17","105","true","185","176","15","true"
"186","17","105","true","186","176","15","true"
"187","17","105","true","187","173","15","true"
"188","17","105","true","188","179","15","true"
"189","18","105","true","189","176","15","true"
"190","19","105","true","190","166","15","true"
"191","19","105","true","191","168","15","true"
"192","19","105","true","192","168","15","true"
"193","18","105","true","193","163","15","true"
"194","18","105","true","194","163","15","true"
"195","19","105","true","195","163","15","true"
"196","17","105","true","196","160","15","true"
"197","16","105","true","197","162","15","true"
"198","17","105","true","198","156","15","true"
"199","17","105","true","199","155","15","true"
"200","17","105","true","200","155","15","true"
"201","16","105","true","201","157","15","true"
"202","19","105","true","202","159","15","true"
"203","19","105","true","203","157","15","true"
"204","19","105","true","204","155","15","true"
"205","17","105","true","205","153","15","true"
"206","19","105","true","206","156","15","true"
"207","18","105","true","207","150","15","true"
"208","18","105","true","208","154","15","true"
"209","18","105","true","209","162","15","true"
"210","18","105","true","210","158","15","true"
"211","19","105","true","211","159","15","true"
"212","19","105","true","212","160","15","true"
"213","18","105","true","213","159","15","true"
"214","17","105","true","214","155","15","true"
"215","17","105","true","215","152","15","true"
"216","17","105","true","216","156","15","true"
"217","18","105","true","217","154","15","true"
"218","19","105","true","218","147","15","true"
"219","18","105","true","219","147","15","true"
"220","18","105","true","220","150","15","true"
"221","17","105","true","221","143","15","true"
"222","17","105","true","222","147","15","true"
"223","17","105","true","223","144","15","true"
"224","19","105","true","224","146","15","true"
"225","18","105","true","225","144","15","true"
"226","18","105","true","226","142","15","true"
"227","19","105","true","227","141","15","true"
"228","19","105","true","228","146","15","true"
"229","21","105","true","229","149","15","true"
"230","20","105","true","230","148","15","true"
"231","21","105","true","231","150","15","true"
"232","21","105","true","232","146","15","true"
"233","20","105","true","233","148","15","true"
"234","22","105","true","234","147","15","true"
"235","23","105","true","235","150","15","true"
"236","22","105","true","236","151","15","true"
"237","22","105","true","237","151","15","true"
"238","23","105","true","238","152","15","true"
"239","22","105","true","239","157","15","true"
"240","23","105","true","240","155","15","true"
"241","23","105","true","241","153","15","true"
"242","22","105","true","242","154","15","true"
"243","21","105","true","243","154","15","true"
"244","19","105","true","244","143","15","true"
"245","19","105","true","245","146","15","true"
"246","21","105","true","246","144","15","true"
"247","20","105","true","247","144","15","true"
"248","21","105","true","248","148","15","true"
"249","21","105","true","249","151","15","true"
"250","22","105","true","250","151","15","true"
"251","20","105","true","251","153","15","true"
"252","22","105","true","252","157","15","true"
