"x","y","color","pen down?","x","y","color","pen down?"
"0","11","105","true","0","89","15","true"
"1","11","105","true","1","83","15","true"
"2","11","105","true","2","83","15","true"
"3","20","105","true","3","122","15","true"
"4","21","105","true","4","148","15","true"
"5","21","105","true","5","137","15","true"
"6","24","105","true","6","161","15","true"
"7","27","105","true","7","185","15","true"
"8","28","105","true","8","199","15","true"
"9","31","105","true","9","211","15","true"
"10","30","105","true","10","207","15","true"
"11","32","105","true","11","221","15","true"
"12","34","105","true","12","229","15","true"
"13","32","105","true","13","230","15","true"
"14","34","105","true","14","242","15","true"
"15","33","105","true","15","251","15","true"
"16","34","105","true","16","264","15","true"
"17","32","105","true","17","268","15","true"
"18","33","105","true","18","257","15","true"
"19","33","105","true","19","257","15","true"
"20","34","105","true","20","252","15","true"
"21","32","105","true","21","256","15","true"
"22","31","105","true","22","250","15","true"
"23","33","105","true","23","245","15","true"
"24","33","105","true","24","234","15","true"
"25","29","105","true","25","225","15","true"
"26","29","105","true","26","220","15","true"
"27","29","105","true","27","212","15","true"
"28","26","105","true","28","211","15","true"
"29","27","105","true","29","202","15","true"
"30","26","105","true","30","196","15","true"
"31","26","105","true","31","191","15","true"
"32","27","105","true","32","191","15","true"
"33","27","105","true","33","190","15","true"
"34","26","105","true","34","184","15","true"
"35","25","105","true","35","181","15","true"
"36","23","105","true","36","180","15","true"
"37","23","105","true","37","184","15","true"
"38","23","105","true","38","184","15","true"
"39","23","105","true","39","180","15","true"
"40","22","105","true","40","179","15","true"
"41","21","105","true","41","175","15","true"
"42","21","105","true","42","168","15","true"
"43","18","105","true","43","166","15","true"
"44","18","105","true","44","167","15","true"
"45","18","105","true","45","160","15","true"
"46","19","105","true","46","160","15","true"
"47","19","105","true","47","159","15","true"
"48","19","105","true","48","155","15","true"
"49","19","105","true","49","154","15","true"
"50","19","105","true","50","148","15","true"
"51","21","105","true","51","143","15","true"
"52","21","105","true","52","148","15","true"
"53","21","105","true","53","153","15","true"
"54","20","105","true","54","157","15","true"
"55","19","105","true","55","150","15","true"
"56","20","105","true","56","151","15","true"
