wals_code,Name,latitude,longitude
ass,Assamese,26.0,93.0
ast,Asturian,43.25,-6.0
asu,Asuriní,-3.5,-49.5
asy,Arabic (Syrian),34.0,38.0
ata,Atayal,24.5,121.333333333
atb,Aralle-Tabulahan,-2.75,119.25
atc,Atchin,-16.0,167.333333333
ath,Athpare,27.0,87.3333333333
ati,Atikamekw,48.0,-74.0
atk,Atakapa,30.0,-93.5
atm,Atacameño,-23.0,-69.0
atq,Alutiiq,57.0,-157.0
ats,Atsugewi,40.75,-121.0
atu,Arabic (Tunisian),36.75,10.25
au,Au,-3.58333333333,142.083333333
aul,Aulua,-16.3333333333,167.666666667
aus,Auslan,-30.0,145.0
auy,Auyana,-6.5,145.75
ava,Avar,42.5,46.5
avk,Avikam,5.16666666667,-5.5
avo,Avokaya,4.66666666667,30.0
avt,Avatime,6.83333333333,0.416666666667
awa,Awa,-6.66666666667,145.75
awd,Awadhi,27.5,81.5
awe,Arrernte (Western),-24.0,132.5
awi,Aekyom,-5.75,141.416666667
awk,Akwa,10.0833333333,6.33333333333
awn,Awngi,10.8333333333,36.6666666667
awp,Awa Pit,1.5,-78.25
awt,Awtuw,-3.58333333333,142.0
awy,Awyi,-2.91666666667,140.583333333
axv,Akhvakh,42.3333333333,46.3333333333
ayi,Anyi,7.0,-3.5
aym,Aymara,-17.0,-69.0
ayn,Aynu,39.5,76.0
ayo,Ayomán,11.0,-69.0
ayr,Ayoreo,-20.25,-59.25
ayw,Ayiwo,-10.3333333333,166.25
aze,Azerbaijani,40.5,48.5
azi,Azari (Iranian),37.5,47.0
baa,Barai,-9.33333333333,148.083333333
bab,Babungo,6.11666666667,10.4166666667
bac,Bachamal,-13.1666666667,130.166666667
bad,Bade,12.8333333333,10.5
bae,Baré,1.0,-67.0
baf,Bafut,6.25,9.91666666667
bag,Bagirmi,11.6666666667,16.0
bah,Bahuana,-0.5,-62.5
bai,Bai,26.0,100.0
baj,Bajau (Sama),-4.33333333333,123.0
bak,Baka (in Cameroon),2.58333333333,13.5833333333
bal,Balinese,-8.33333333333,115.25
bam,Bambara,12.5,-7.5
ban,Bana,10.4166666667,13.5833333333
bao,Bao'an,35.75,102.833333333
baq,Baure,-13.0833333333,-64.1666666667
bar,Bari,5.0,31.6666666667
bas,Basaá,3.91666666667,10.5
bat,Batak,10.25,119.083333333
bau,Bau,-5.25,145.616666667
baw,Bawm,22.5,92.25
bbf,Bobo Madaré (Northern),12.4166666667,-4.33333333333
bbl,Babole,1.08333333333,17.25
bbm,Bambam,-3.08333333333,119.083333333
bbu,Barambu,3.5,27.0
bbw,Bininj Gun-Wok,-12.5,133.75
bca,Bandjalang (Casino),-28.9166666667,153.0
bch,Berber (Chaouia),35.0,7.0
bco,Bella Coola,52.5,-126.666666667
bdc,Berbice Dutch Creole,5.33333333333,-58.0
bdg,Badaga,11.6666666667,76.75
bdk,Budukh,41.1666666667,48.4166666667
bdm,Badimaya,-27.6666666667,118.0
bdu,Budu,2.0,28.0
bdw,Baham,-3.16666666667,132.666666667
beb,Benabena,-6.16666666667,145.5
bec,Bengali (Chittagong),22.3333333333,91.8333333333
bee,Beembe,-3.91666666667,14.0833333333
beg,Begak-Ida'an,5.25,118.833333333
bej,Beja,18.0,36.0
bel,Belhare,26.9666666667,87.3
bem,Bemba,-10.0,28.25
ben,Bengali,24.0,90.0
beo,Beothuk,48.0,-57.0
ber,Berta,10.3333333333,34.6666666667
bet,Bété,6.25,-6.25
bez,Bezhta,42.0833333333,46.1666666667
bfd,Biafada,11.4166666667,-15.1666666667
bfg,Berber (Figuig),32.5,-1.5
bfi,Bafia,5.0,11.1666666667
bga,Benga,1.16666666667,9.41666666667
bgg,Banggai,-1.41666666667,123.166666667
bgi,Bagri,29.5833333333,74.3333333333
bgl,Buglere,8.5,-81.25
bgm,Bangime,14.9166666667,-3.83333333333
bgn,Bugun,27.5,92.5833333333
bgo,Bongo,7.5,28.5
bgr,Bagiro,4.33333333333,20.5833333333
bgs,Baga Sitemu,10.5,-14.5
bgv,Bagvalal,42.5833333333,46.1666666667
bgz,Banggi,7.25,117.166666667
bhi,Bhili,22.0,73.0
bhn,Bahinemo,-4.58333333333,142.833333333
bho,Bhojpuri,26.0,84.0
bhu,Bhumij,21.3333333333,86.5
bia,Bira,1.0,28.75
bid,Bidiya,11.9166666667,18.75
big,Binga,8.0,25.0
bii,Biri,-20.5,146.5
bik,Biak,-1.0,136.0
bil,Bilua,-7.75,156.666666667
bim,Bima,-8.5,118.5
bin,Binandere,-8.25,148.0
bio,Nai,-3.71666666667,141.266666667
biq,Bilaan,6.0,125.333333333
bir,Birom,9.66666666667,8.83333333333
bis,Bisa,11.5,-0.5
bit,Biatah,1.25,110.0
biu,Bisu,19.75,100.0
bjs,Bajau (Semporna),4.5,118.5
bka,Baka (in Sudan),4.83333333333,29.25
bkb,Betta Kurumba,11.5,76.75
bkd,Binukid,8.25,124.833333333
bki,Bakairí,-14.0,-55.0
bkl,Bikol,13.3333333333,123.5
bkn,Bakundu,4.83333333333,9.33333333333
bkr,Batak (Karo),3.25,98.25
bkt,Brokskat,35.3333333333,76.5
bku,Bakueri,4.25,9.25
bla,Blackfoot,50.0,-112.666666667
blc,Baluchi,28.0,62.0
ble,Baule,7.0,-5.0
blg,Balangao,17.1666666667,121.166666667
blj,Baale,6.5,34.5
blk,Balantak,-0.833333333333,123.25
bln,Bilin,15.75,38.5
blq,Bole,11.3333333333,11.25
blr,Belorussian,54.0,28.0
blt,Balti,35.0,76.0
blu,Bena-Lulua,-6.0,21.0
blx,Biloxi,30.5,-88.6666666667
bly,Balyku,-22.0,120.0
blz,Balanta,12.25,-15.3333333333
bma,Berber (Middle Atlas),33.0,-5.0
