"x","y","color","pen down?","x","y","color","pen down?"
"0","13","105","true","0","87","15","true"
"1","13","105","true","1","84","15","true"
"2","13","105","true","2","84","15","true"
"3","24","105","true","3","130","15","true"
"4","24","105","true","4","148","15","true"
"5","25","105","true","5","135","15","true"
"6","28","105","true","6","166","15","true"
"7","33","105","true","7","184","15","true"
"8","33","105","true","8","196","15","true"
"9","35","105","true","9","216","15","true"
"10","38","105","true","10","228","15","true"
"11","39","105","true","11","228","15","true"
"12","41","105","true","12","246","15","true"
"13","39","105","true","13","246","15","true"
"14","40","105","true","14","249","15","true"
"15","35","105","true","15","254","15","true"
"16","36","105","true","16","260","15","true"
"17","36","105","true","17","259","15","true"
"18","35","105","true","18","249","15","true"
"19","34","105","true","19","250","15","true"
"20","31","105","true","20","246","15","true"
"21","30","105","true","21","247","15","true"
"22","25","105","true","22","248","15","true"
"23","23","105","true","23","241","15","true"
"24","23","105","true","24","242","15","true"
"25","24","105","true","25","231","15","true"
"26","24","105","true","26","231","15","true"
"27","24","105","true","27","230","15","true"
"28","22","105","true","28","230","15","true"
"29","21","105","true","29","226","15","true"
"30","21","105","true","30","222","15","true"
"31","21","105","true","31","220","15","true"
"32","21","105","true","32","219","15","true"
"33","20","105","true","33","219","15","true"
"34","20","105","true","34","214","15","true"
"35","18","105","true","35","201","15","true"
"36","19","105","true","36","202","15","true"
"37","18","105","true","37","195","15","true"
"38","18","105","true","38","189","15","true"
"39","17","105","true","39","188","15","true"
"40","15","105","true","40","178","15","true"
"41","13","105","true","41","177","15","true"
"42","14","105","true","42","182","15","true"
"43","14","105","true","43","175","15","true"
"44","15","105","true","44","163","15","true"
"45","13","105","true","45","165","15","true"
"46","13","105","true","46","161","15","true"
"47","13","105","true","47","165","15","true"
"48","13","105","true","48","166","15","true"
"49","13","105","true","49","169","15","true"
"50","13","105","true","50","162","15","true"
"51","13","105","true","51","164","15","true"
"52","14","105","true","52","160","15","true"
"53","14","105","true","53","159","15","true"
"54","15","105","true","54","160","15","true"
"55","15","105","true","55","156","15","true"
"56","15","105","true","56","154","15","true"
"57","14","105","true","57","159","15","true"
"58","14","105","true","58","160","15","true"
"59","15","105","true","59","162","15","true"
"60","14","105","true","60","159","15","true"
"61","13","105","true","61","158","15","true"
"62","14","105","true","62","158","15","true"
"63","13","105","true","63","157","15","true"
"64","13","105","true","64","157","15","true"
"65","12","105","true","65","154","15","true"
"66","14","105","true","66","154","15","true"
"67","14","105","true","67","152","15","true"
"68","13","105","true","68","155","15","true"
"69","11","105","true","69","153","15","true"
"70","11","105","true","70","159","15","true"
"71","10","105","true","71","155","15","true"
"72","9","105","true","72","151","15","true"
"73","9","105","true","73","148","15","true"
"74","8","105","true","74","150","15","true"
"75","8","105","true","75","146","15","true"
"76","7","105","true","76","150","15","true"
"77","8","105","true","77","151","15","true"
"78","8","105","true","78","150","15","true"
"79","8","105","true","79","155","15","true"
"80","9","105","true","80","154","15","true"
"81","9","105","true","81","150","15","true"
"82","9","105","true","82","146","15","true"
"83","10","105","true","83","146","15","true"
"84","10","105","true","84","152","15","true"
"85","12","105","true","85","150","15","true"
"86","13","105","true","86","147","15","true"
"87","11","105","true","87","148","15","true"
"88","11","105","true","88","146","15","true"
"89","12","105","true","89","143","15","true"
"90","12","105","true","90","147","15","true"
"91","12","105","true","91","147","15","true"
"92","12","105","true","92","148","15","true"
"93","12","105","true","93","152","15","true"
"94","12","105","true","94","146","15","true"
"95","12","105","true","95","146","15","true"
"96","11","105","true","96","148","15","true"
"97","12","105","true","97","151","15","true"
"98","14","105","true","98","147","15","true"
"99","14","105","true","99","145","15","true"
"100","12","105","true","100","146","15","true"
"101","13","105","true","101","145","15","true"
"102","14","105","true","102","145","15","true"
"103","14","105","true","103","149","15","true"
"104","16","105","true","104","146","15","true"
"105","16","105","true","105","144","15","true"
"106","15","105","true","106","142","15","true"
"107","14","105","true","107","139","15","true"
"108","14","105","true","108","144","15","true"
"109","13","105","true","109","146","15","true"
"110","12","105","true","110","147","15","true"
"111","14","105","true","111","151","15","true"
"112","14","105","true","112","153","15","true"
"113","13","105","true","113","155","15","true"
"114","13","105","true","114","155","15","true"
"115","14","105","true","115","156","15","true"
"116","14","105","true","116","156","15","true"
"117","14","105","true","117","156","15","true"
"118","14","105","true","118","158","15","true"
"119","14","105","true","119","162","15","true"
"120","14","105","true","120","161","15","true"
"121","12","105","true","121","159","15","true"
"122","13","105","true","122","154","15","true"
"123","13","105","true","123","152","15","true"
"124","12","105","true","124","154","15","true"
"125","11","105","true","125","151","15","true"
"126","12","105","true","126","151","15","true"
"127","12","105","true","127","154","15","true"
"128","11","105","true","128","150","15","true"
"129","12","105","true","129","153","15","true"
"130","12","105","true","130","154","15","true"
"131","12","105","true","131","152","15","true"
"132","12","105","true","132","152","15","true"
"133","13","105","true","133","150","15","true"
"134","12","105","true","134","147","15","true"
"135","12","105","true","135","151","15","true"
"136","11","105","true","136","150","15","true"
"137","12","105","true","137","154","15","true"
"138","13","105","true","138","154","15","true"
"139","12","105","true","139","150","15","true"
"140","12","105","true","140","145","15","true"
"141","12","105","true","141","153","15","true"
