"x","y","color","pen down?","x","y","color","pen down?"
"0","9","105","true","0","91","15","true"
"1","9","105","true","1","87","15","true"
"2","9","105","true","2","87","15","true"
"3","16","105","true","3","142","15","true"
"4","16","105","true","4","156","15","true"
"5","19","105","true","5","152","15","true"
"6","24","105","true","6","168","15","true"
"7","27","105","true","7","189","15","true"
"8","26","105","true","8","191","15","true"
"9","29","105","true","9","210","15","true"
"10","26","105","true","10","208","15","true"
"11","29","105","true","11","238","15","true"
"12","30","105","true","12","245","15","true"
"13","27","105","true","13","250","15","true"
"14","30","105","true","14","250","15","true"
"15","27","105","true","15","247","15","true"
"16","28","105","true","16","252","15","true"
"17","26","105","true","17","255","15","true"
"18","26","105","true","18","253","15","true"
"19","26","105","true","19","253","15","true"
"20","24","105","true","20","245","15","true"
"21","24","105","true","21","245","15","true"
"22","25","105","true","22","245","15","true"
"23","25","105","true","23","242","15","true"
"24","23","105","true","24","242","15","true"
"25","25","105","true","25","243","15","true"
"26","24","105","true","26","238","15","true"
"27","24","105","true","27","239","15","true"
"28","24","105","true","28","236","15","true"
"29","23","105","true","29","234","15","true"
"30","21","105","true","30","222","15","true"
"31","20","105","true","31","221","15","true"
"32","20","105","true","32","220","15","true"
"33","20","105","true","33","219","15","true"
"34","19","105","true","34","219","15","true"
"35","19","105","true","35","208","15","true"
"36","20","105","true","36","197","15","true"
"37","17","105","true","37","204","15","true"
"38","18","105","true","38","200","15","true"
"39","16","105","true","39","207","15","true"
"40","18","105","true","40","201","15","true"
"41","15","105","true","41","202","15","true"
"42","16","105","true","42","195","15","true"
"43","14","105","true","43","188","15","true"
"44","16","105","true","44","187","15","true"
"45","13","105","true","45","183","15","true"
"46","12","105","true","46","182","15","true"
"47","12","105","true","47","175","15","true"
"48","11","105","true","48","173","15","true"
"49","13","105","true","49","169","15","true"
"50","12","105","true","50","167","15","true"
"51","10","105","true","51","162","15","true"
"52","10","105","true","52","166","15","true"
"53","11","105","true","53","164","15","true"
"54","10","105","true","54","161","15","true"
"55","10","105","true","55","163","15","true"
"56","9","105","true","56","160","15","true"
"57","9","105","true","57","164","15","true"
"58","9","105","true","58","168","15","true"
"59","8","105","true","59","170","15","true"
"60","9","105","true","60","166","15","true"
"61","9","105","true","61","170","15","true"
"62","10","105","true","62","171","15","true"
"63","9","105","true","63","164","15","true"
"64","10","105","true","64","160","15","true"
"65","10","105","true","65","159","15","true"
"66","9","105","true","66","161","15","true"
"67","9","105","true","67","157","15","true"
"68","8","105","true","68","156","15","true"
"69","7","105","true","69","149","15","true"
"70","7","105","true","70","149","15","true"
"71","8","105","true","71","149","15","true"
"72","7","105","true","72","144","15","true"
"73","7","105","true","73","141","15","true"
"74","8","105","true","74","141","15","true"
"75","8","105","true","75","139","15","true"
"76","8","105","true","76","137","15","true"
"77","8","105","true","77","137","15","true"
"78","9","105","true","78","135","15","true"
"79","9","105","true","79","134","15","true"
"80","7","105","true","80","131","15","true"
"81","8","105","true","81","135","15","true"
"82","8","105","true","82","134","15","true"
"83","10","105","true","83","139","15","true"
"84","10","105","true","84","142","15","true"
"85","9","105","true","85","145","15","true"
"86","10","105","true","86","141","15","true"
"87","10","105","true","87","141","15","true"
"88","11","105","true","88","142","15","true"
"89","9","105","true","89","138","15","true"
"90","10","105","true","90","137","15","true"
"91","9","105","true","91","140","15","true"
"92","10","105","true","92","141","15","true"
"93","10","105","true","93","139","15","true"
"94","10","105","true","94","141","15","true"
"95","10","105","true","95","138","15","true"
"96","10","105","true","96","138","15","true"
"97","11","105","true","97","142","15","true"
"98","11","105","true","98","141","15","true"
"99","11","105","true","99","148","15","true"
"100","11","105","true","100","146","15","true"
"101","12","105","true","101","145","15","true"
"102","11","105","true","102","142","15","true"
"103","10","105","true","103","143","15","true"
"104","10","105","true","104","144","15","true"
"105","10","105","true","105","145","15","true"
"106","10","105","true","106","150","15","true"
"107","11","105","true","107","160","15","true"
"108","11","105","true","108","160","15","true"
"109","10","105","true","109","153","15","true"
"110","10","105","true","110","153","15","true"
"111","9","105","true","111","152","15","true"
"112","9","105","true","112","152","15","true"
"113","9","105","true","113","155","15","true"
"114","9","105","true","114","156","15","true"
"115","9","105","true","115","159","15","true"
"116","9","105","true","116","156","15","true"
"117","9","105","true","117","157","15","true"
"118","9","105","true","118","164","15","true"
"119","11","105","true","119","165","15","true"
"120","11","105","true","120","169","15","true"
"121","11","105","true","121","169","15","true"
"122","11","105","true","122","167","15","true"
"123","11","105","true","123","166","15","true"
"124","11","105","true","124","169","15","true"
"125","12","105","true","125","170","15","true"
"126","12","105","true","126","171","15","true"
"127","12","105","true","127","171","15","true"
"128","11","105","true","128","165","15","true"
"129","11","105","true","129","168","15","true"
"130","10","105","true","130","172","15","true"
"131","9","105","true","131","177","15","true"
